album,song_title,multi_verse,multi_bridge,core_title,common_id,intro_chordsTransposed,verse_chordsTransposed,pre_chorus_chordsTransposed,chorus_chordsTransposed,post_chorus_chordsTransposed,bridge_chordsTransposed,outro_chordsTransposed
RED (Taylor's Version),all too well (10 minute version) (taylor's version) (from the vault),True,True,all too well 10 minute version taylors version from the vault,143,C-G-Am-F,C-G-Am-F,C-G-Am-G-F-G-C-G,C-G-Am-F,NONE,C-G-Am-F,F-G-C-Am
Midnights,bejeweled,False,False,bejeweled,123,G,C-Dm-Am-G,NONE,C-Dm-Am-G,C-Dm-A-G,C-C-G,Dm-Am-G-C
RED (Taylor's Version),all too well (taylor's version),True,False,all too well taylors version,166,C-G-Am-F,C-G-Am-F,C-G-Am-G-F,C-G-Am-F,NONE,C-G-Am-F,C-G-Am-F
Folklore,betty,True,False,betty,95,C-G-Am-G-F,C-G-Am-G-F,C-G-Am-G-F,C-G-Am-G-F-C,NONE,Am-G-F-G-C,D-A-G-A
RED (Taylor's Version),the moment i knew (taylor's version),False,False,the moment i knew taylors version,157,C-G-D,C-G-D,NONE,C-G-D,NONE,C-G-D,C-G-D
Folklore,my tears richochet,False,False,my tears richochet,85,Am-G-Em-F,Am-G-Em-F,NONE,C-Dm-Am-F,NONE,C-Dm-Am-F,C-Dm-Am-F
Lover,cornelia street,False,False,cornelia street,111,C-G-F,C-G-Am-F,G-Am-F,C-G-Am-F,NONE,G-Am-F,C-G-Am-F
Reputation,delicate,False,False,delicate,173,CHORUS,C-Dm-Am-F,NONE,C-Dm-Am-F,C-Dm-Am-F,NONE,C-Dm-Am-F
RED (Taylor's Version),we are never ever getting back together (taylor's version),False,False,we are never ever getting back together taylors version,160,C-G-D-Em,C-G-D-Em,C-G-D-Em,C-G-D-Em-D,D-Em,C-G-D-Em,G-D-Em-D
Speak Now(Taylor’s Version),mine (taylor's version),False,False,mine taylors version,182,C-G-D-Em,C-G-D-Em,C-G-D,C-G-D-Em-D,NONE,Em-C-D-C,C-G-D-Em-D
