RED (Taylor's Version),treacherous (taylor's version),D A Bm G,D E D Bb E,NONE,D A Bm G,A Bm G,NONE,D A Bm G,FALSE,FALSE,treacherous taylors version,153,
RED (Taylor's Version),state of grace (acoustic version) (taylor's version),D G,Cm Db Db Fm,D G,D G F#m G,NONE,D G Em F#m,G Em F#m G,FALSE,FALSE,state of grace acoustic version taylors version,152,
RED (Taylor's Version),run (taylor's version) (from the vault),D# G# D# G#,C# G# A#m F#,Fm Cm D# A#,D# G# Cm A#,G# A# Cm G#,CHORUS,G# D#,FALSE,FALSE,run taylors version from the vault,159,
RED (Taylor's Version),holy ground (taylor's version),Eb,C F Am G,NONE,Bb C#m A Eb,A C#m Bb,Eb A Eb A,Eb A C#m Bb,FALSE,FALSE,holy ground taylors version,148,
RED (Taylor's Version),come back be here (taylor's version),Eb,C F,Bb C#m A Bb,Eb Bb C#m A,Bb C#m A Eb,A C#m Bb,Eb Bb C#m A,FALSE,FALSE,come back be here taylors version,140,
RED (Taylor's Version),the lucky one (taylor's version),Eb,C Em Am G,A,Eb Bb A Bb ,NONE,CHORUS,NONE,TRUE,FALSE,the lucky one taylors version,137,
RED (Taylor's Version),babe (taylor's version) (from the vault),Eb A C#m Bb,C F C G,Eb A C#m Bb,C#m Bb Eb A,NONE,Eb C#m Bb A,Eb A C#m Bb,FALSE,FALSE,babe taylors version from the vault,141,
RED (Taylor's Version),better man (taylor's version) (from the vault),Eb Bb A,C F Am F,A Bb A,Eb Bb C#m A,NONE,A Bb C#m A,Bb A C#m Eb,FALSE,FALSE,better man taylors version from the vault,165,
RED (Taylor's Version),state of grace (taylor's version),Eb Bb A Eb A,C F G F,Eb Eb A,Eb A Eb A,NONE,Eb A F#m Gm,Eb A F#m A,FALSE,FALSE,state of grace taylors version,151,
RED (Taylor's Version),i knew you were trouble (taylor's version),F,C,F C Dm,Dm B C F C,B C F C Dm,B Dm B F,Dm B C F C,FALSE,FALSE,i knew you were trouble taylors version,163,
RED (Taylor's Version),everything has changed (taylor's version),F B F B,Bm A G A,F Gm B Dm C,F Dm C B F,NONE,Dm B F C,NONE,FALSE,FALSE,everything has changed taylors version,162,
RED (Taylor's Version),message in a bottle (taylor's version) (from the vault),G,Am G F E,G C Em D,G C Em D,NONE,C G C Em,G C Em D,FALSE,FALSE,message in a bottle taylors version from the vault,142,
RED (Taylor's Version),begin again (taylor's version),G,Am F Em Am,NONE,C D Em G,NONE,C D Bm C,C D N.C,TRUE,FALSE,begin again taylors version,161,
RED (Taylor's Version),the last time (taylor's version),G A Bm D A,Bb E B,G A Bm D,D Bm A G,NONE,G A Bm D,D Bm A G,FALSE,FALSE,the last time taylors version,155,
RED (Taylor's Version),sad beautiful tragic (taylor's version),G D Am C,A#m G# C# D#,NONE,G D Am C,NONE,Am C G D,NONE,FALSE,FALSE,sad beautiful tragic taylors version,164,
RED (Taylor's Version),22 (taylor's version),G D C D,A F#m Db,G D C D,G D C Em,NONE,NONE,C Em D G,FALSE,FALSE,22 taylors version,156,
RED (Taylor's Version),nothing new (taylor's version) (from the vault),NONE,F C Am G,F G,G Am G C,NONE,F G C Am,NONE,FALSE,FALSE,nothing new taylors version from the vault,149,
RED (Taylor's Version),i bet you think about me (taylor's version) (from the vault),NONE,Eb C#m A Eb Bb,NONE,Em Am G F,C G F G,F C G Am G F,Em Am G F,TRUE,FALSE,i bet you think about me taylors version from the vault,158,
Reputation,look what you made me do,Am F E,G C Em D,NONE,Am G F E,NONE,Am F E,NONE,FALSE,FALSE,look what you made me do,181,
